date_new,well_ft
2007-10-15-06,1.352
2007-10-15-07,1.352
2007-10-15-08,1.342
2007-10-15-09,1.342
2007-10-15-10,1.342
2007-10-15-11,1.332
2007-10-15-12,1.332
2007-10-15-13,1.332
2007-10-15-14,1.332
2007-10-15-15,1.332
2007-10-15-16,1.322
2007-10-15-17,1.322
2007-10-15-18,1.312
2007-10-15-19,1.312
2007-10-15-20,1.312
2007-10-15-21,1.302
2007-10-15-22,1.302
2007-10-15-23,1.302
2007-10-16-00,1.302
2007-10-16-01,1.302
2007-10-16-02,1.302
2007-10-16-03,1.302
2007-10-16-04,1.292
2007-10-16-05,1.292
2007-10-16-06,1.292
2007-10-16-07,1.282
2007-10-16-08,1.282
2007-10-16-09,1.282
2007-10-16-10,1.272
2007-10-16-11,1.272
2007-10-16-12,1.272
2007-10-16-13,1.272
2007-10-16-14,1.272
2007-10-16-15,1.272
2007-10-16-16,1.272
2007-10-16-17,1.272
2007-10-16-18,1.272
2007-10-16-19,1.262
2007-10-16-20,1.262
2007-10-16-21,1.262
2007-10-16-22,1.262
2007-10-16-23,1.252
2007-10-17-00,1.252
2007-10-17-01,1.252
2007-10-17-02,1.252
2007-10-17-03,1.252
2007-10-17-04,1.252
2007-10-17-05,1.242
2007-10-17-06,1.242
2007-10-17-07,1.232
2007-10-17-08,1.232
2007-10-17-09,1.232
2007-10-17-10,1.222
2007-10-17-11,1.222
2007-10-17-12,1.222
2007-10-17-13,1.222
2007-10-17-14,1.222
2007-10-17-15,1.222
2007-10-17-16,1.222
2007-10-17-17,1.222
2007-10-17-18,1.222
2007-10-17-19,1.222
2007-10-17-20,1.222
2007-10-17-21,1.212
2007-10-17-22,1.212
2007-10-17-23,1.212
2007-10-18-00,1.212
2007-10-18-01,1.212
2007-10-18-02,1.212
2007-10-18-03,1.212
2007-10-18-04,1.212
2007-10-18-05,1.192
2007-10-18-06,1.192
2007-10-18-07,1.182
2007-10-18-08,1.182
2007-10-18-09,1.172
2007-10-18-10,1.172
2007-10-18-11,1.172
2007-10-18-12,1.172
2007-10-18-13,1.162
2007-10-18-14,1.162
2007-10-18-15,1.162
2007-10-18-16,1.162
2007-10-18-17,1.152
2007-10-18-18,1.152
2007-10-18-19,1.152
2007-10-18-20,1.142
2007-10-18-21,1.142
2007-10-18-22,1.142
2007-10-18-23,1.142
2007-10-19-00,1.132
2007-10-19-01,1.132
2007-10-19-02,1.132
2007-10-19-03,1.132
2007-10-19-04,1.132
2007-10-19-05,1.132
2007-10-19-06,1.132
2007-10-19-07,1.122
2007-10-19-08,1.122
2007-10-19-09,1.122
2007-10-19-10,1.112
2007-10-19-11,1.112
2007-10-19-12,1.112
2007-10-19-13,1.112
2007-10-19-14,1.112
2007-10-19-15,1.112
2007-10-19-16,1.102
2007-10-19-17,1.102
2007-10-19-18,1.102
2007-10-19-19,1.102
2007-10-19-20,1.102
2007-10-19-21,1.092
2007-10-19-22,1.092
2007-10-19-23,1.092
2007-10-20-00,1.092
2007-10-20-01,1.092
2007-10-20-02,1.092
2007-10-20-03,1.082
2007-10-20-04,1.082
2007-10-20-05,1.072
2007-10-20-06,1.082
2007-10-20-07,1.082
2007-10-20-08,1.092
2007-10-20-09,1.092
2007-10-20-10,1.092
2007-10-20-11,1.092
2007-10-20-12,1.082
2007-10-20-13,1.082
2007-10-20-14,1.082
2007-10-20-15,1.082
2007-10-20-16,1.082
2007-10-20-17,1.192
2007-10-20-18,1.302
2007-10-20-19,1.382
2007-10-20-20,1.412
2007-10-20-21,1.422
2007-10-20-22,1.432
2007-10-20-23,1.442
2007-10-21-00,1.452
2007-10-21-01,1.452
2007-10-21-02,1.452
2007-10-21-03,1.462
2007-10-21-04,1.462
2007-10-21-05,1.462
2007-10-21-06,1.462
2007-10-21-07,1.462
2007-10-21-08,1.462
2007-10-21-09,1.462
2007-10-21-10,1.452
2007-10-21-11,1.452
2007-10-21-12,1.452
2007-10-21-13,1.452
2007-10-21-14,1.442
2007-10-21-15,1.442
2007-10-21-16,1.442
2007-10-21-17,1.442
2007-10-21-18,1.442
2007-10-21-19,1.442
2007-10-21-20,1.432
2007-10-21-21,1.432
2007-10-21-22,1.432
2007-10-21-23,1.422
2007-10-22-00,1.422
2007-10-22-01,1.422
2007-10-22-02,1.422
2007-10-22-03,1.422
2007-10-22-04,1.412
2007-10-22-05,1.412
2007-10-22-06,1.412
2007-10-22-07,1.402
2007-10-22-08,1.402
2007-10-22-09,1.402
2007-10-22-10,1.402
2007-10-22-11,1.392
2007-10-22-12,1.392
2007-10-22-13,1.382
2007-10-22-14,1.372
2007-10-22-15,1.372
2007-10-22-16,1.362
2007-10-22-17,1.352
2007-10-22-18,1.352
2007-10-22-19,1.352
2007-10-22-20,1.352
2007-10-22-21,1.342
2007-10-22-22,1.342
2007-10-22-23,1.332
2007-10-23-00,1.332
2007-10-23-01,1.322
2007-10-23-02,1.322
2007-10-23-03,1.312
2007-10-23-04,1.312
2007-10-23-05,1.302
2007-10-23-06,1.302
2007-10-23-07,1.302
2007-10-23-08,1.302
2007-10-23-09,1.292
2007-10-23-10,1.292
2007-10-23-11,1.292
2007-10-23-12,1.292
2007-10-23-13,1.272
2007-10-23-14,1.272
2007-10-23-15,1.262
2007-10-23-16,1.262
2007-10-23-17,1.252
2007-10-23-18,1.252
2007-10-23-19,1.252
2007-10-23-20,1.252
2007-10-23-21,1.252
2007-10-23-22,1.252
2007-10-23-23,1.242
2007-10-24-00,1.232
2007-10-24-01,1.232
2007-10-24-02,1.232
2007-10-24-03,1.222
2007-10-24-04,1.222
2007-10-24-05,1.212
2007-10-24-06,1.212
2007-10-24-07,1.212
2007-10-24-08,1.212
2007-10-24-09,1.212
2007-10-24-10,1.212
2007-10-24-11,1.212
2007-10-24-12,1.212
2007-10-24-13,1.212
2007-10-24-14,1.212
2007-10-24-15,1.202
2007-10-24-16,1.192
2007-10-24-17,1.182
2007-10-24-18,1.182
2007-10-24-19,1.182
2007-10-24-20,1.182
2007-10-24-21,1.182
2007-10-24-22,1.182
2007-10-24-23,1.172
2007-10-25-00,1.172
2007-10-25-01,1.162
2007-10-25-02,1.162
2007-10-25-03,1.152
2007-10-25-04,1.152
2007-10-25-05,1.142
2007-10-25-06,1.142
2007-10-25-07,1.132
2007-10-25-08,1.132
2007-10-25-09,1.132
2007-10-25-10,1.132
2007-10-25-11,1.122
2007-10-25-12,1.122
2007-10-25-13,1.122
2007-10-25-14,1.112
2007-10-25-15,1.102
2007-10-25-16,1.102
2007-10-25-17,1.092
2007-10-25-18,1.082
2007-10-25-19,1.082
2007-10-25-20,1.082
2007-10-25-21,1.082
2007-10-25-22,1.082
2007-10-25-23,1.082
2007-10-26-00,1.092
2007-10-26-01,1.092
2007-10-26-02,1.092
2007-10-26-03,1.082
2007-10-26-04,1.292
2007-10-26-05,1.552
2007-10-26-06,1.742
2007-10-26-07,1.832
2007-10-26-08,1.922
2007-10-26-09,1.982
2007-10-26-10,2.042
2007-10-26-11,2.112
2007-10-26-12,2.172
2007-10-26-13,2.222
2007-10-26-14,2.252
2007-10-26-15,2.292
2007-10-26-16,2.312
2007-10-26-17,2.332
2007-10-26-18,2.352
2007-10-26-19,2.362
2007-10-26-20,2.372
2007-10-26-21,2.382
2007-10-26-22,2.392
2007-10-26-23,2.402
2007-10-27-00,2.402
2007-10-27-01,2.402
2007-10-27-02,2.402
2007-10-27-03,2.392
2007-10-27-04,2.392
2007-10-27-05,2.382
2007-10-27-06,2.372
2007-10-27-07,2.372
2007-10-27-08,2.372
2007-10-27-09,2.362
2007-10-27-10,2.352
2007-10-27-11,2.352
2007-10-27-12,2.342
2007-10-27-13,2.332
2007-10-27-14,2.322
2007-10-27-15,2.302
2007-10-27-16,2.292
2007-10-27-17,2.282
2007-10-27-18,2.272
2007-10-27-19,2.262
2007-10-27-20,2.252
2007-10-27-21,2.232
2007-10-27-22,2.222
2007-10-27-23,2.222
2007-10-28-00,2.212
2007-10-28-01,2.202
2007-10-28-02,2.192
2007-10-28-03,2.182
2007-10-28-04,2.162
2007-10-28-05,2.142
2007-10-28-06,2.132
2007-10-28-07,2.122
2007-10-28-08,2.112
2007-10-28-09,2.112
2007-10-28-10,2.102
2007-10-28-11,2.092
2007-10-28-12,2.082
2007-10-28-13,2.082
2007-10-28-14,2.082
2007-10-28-15,2.072
2007-10-28-16,2.062
2007-10-28-17,2.042
2007-10-28-18,2.032
2007-10-28-19,2.032
2007-10-28-20,2.032
2007-10-28-21,2.022
2007-10-28-22,2.012
2007-10-28-23,2.012
2007-10-29-00,2.012
2007-10-29-01,2.012
2007-10-29-02,2.002
2007-10-29-03,1.992
2007-10-29-04,1.992
2007-10-29-05,1.982
2007-10-29-06,1.982
2007-10-29-07,1.972
2007-10-29-08,1.962
2007-10-29-09,1.962
2007-10-29-10,1.952
2007-10-29-11,1.952
2007-10-29-12,1.942
2007-10-29-13,1.942
2007-10-29-14,1.942
2007-10-29-15,1.942
2007-10-29-16,1.932
2007-10-29-17,1.922
2007-10-29-18,1.922
2007-10-29-19,1.912
2007-10-29-20,1.912
2007-10-29-21,1.902
2007-10-29-22,1.902
2007-10-29-23,1.902
2007-10-30-00,1.892
2007-10-30-01,1.892
2007-10-30-02,1.892
2007-10-30-03,1.892
2007-10-30-04,1.882
2007-10-30-05,1.872
2007-10-30-06,1.872
2007-10-30-07,1.862
2007-10-30-08,1.862
2007-10-30-09,1.852
2007-10-30-10,1.852
2007-10-30-11,1.842
2007-10-30-12,1.842
