date_new,well_ft
2007-10-01-01,1.858
2007-10-01-02,1.868
2007-10-01-03,1.878
2007-10-01-04,1.878
2007-10-01-05,1.888
2007-10-01-06,1.898
2007-10-01-07,1.938
2007-10-01-08,2.008
2007-10-01-09,2.058
2007-10-01-10,2.078
2007-10-01-11,2.088
2007-10-01-12,2.108
2007-10-01-13,2.138
2007-10-01-14,2.168
2007-10-01-15,2.188
2007-10-01-16,2.198
2007-10-01-17,2.208
2007-10-01-18,2.228
2007-10-01-19,2.238
2007-10-01-20,2.248
2007-10-01-21,2.278
2007-10-01-22,2.278
2007-10-01-23,2.288
2007-11-01-00,1.568
2007-11-01-01,1.568
2007-11-01-02,1.578
2007-11-01-03,1.578
2007-11-01-04,1.588
2007-11-01-05,1.588
2007-11-01-06,1.588
2007-11-01-07,1.588
2007-11-01-08,1.588
2007-11-01-09,1.598
2007-11-01-10,1.588
2007-11-01-11,1.598
2007-11-01-12,1.598
2007-11-01-13,1.598
2007-11-01-14,1.598
2007-11-01-15,1.598
2007-11-01-16,1.598
2007-11-01-17,1.598
2007-11-01-18,1.598
2007-11-01-19,1.598
2007-11-01-20,1.598
2007-11-01-21,1.588
2007-11-01-22,1.588
2007-11-01-23,1.588
2007-12-01-00,0.518
2007-12-01-01,0.518
2007-12-01-02,0.518
2007-12-01-03,0.518
2007-12-01-04,0.518
2007-12-01-05,0.518
2007-12-01-06,0.518
2007-12-01-07,0.508
2007-12-01-08,0.508
2007-12-01-09,0.508
2007-12-01-10,0.508
2007-12-01-11,0.498
2007-12-01-12,0.498
2007-12-01-13,0.498
2007-12-01-14,0.488
2007-12-01-15,0.488
2007-12-01-16,0.488
2007-12-01-17,0.488
2007-12-01-18,0.488
2007-12-01-19,0.488
2007-12-01-20,0.488
2007-12-01-21,0.488
2007-12-01-22,0.488
2007-12-01-23,0.488
2008-01-01-00,0.118
2008-01-01-01,0.118
2008-01-01-02,0.118
2008-01-01-03,0.118
2008-01-01-04,0.118
2008-01-01-05,0.118
2008-01-01-06,0.118
2008-01-01-07,0.118
2008-01-01-08,0.118
2008-01-01-09,0.118
2008-01-01-10,0.118
2008-01-01-11,0.118
2008-01-01-12,0.118
2008-01-01-13,0.118
2008-01-01-14,0.128
2008-01-01-15,0.128
2008-01-01-16,0.128
2008-01-01-17,0.168
2008-01-01-18,0.238
2008-01-01-19,0.258
2008-01-01-20,0.258
2008-01-01-21,0.268
2008-01-01-22,0.268
2008-01-01-23,0.258
2008-02-01-00,0.208
2008-02-01-01,0.208
2008-02-01-02,0.208
2008-02-01-03,0.208
2008-02-01-04,0.208
2008-02-01-05,0.208
2008-02-01-06,0.208
2008-02-01-07,0.208
2008-02-01-08,0.208
2008-02-01-09,0.198
2008-02-01-10,0.198
2008-02-01-11,0.198
2008-02-01-12,0.198
2008-02-01-13,0.198
2008-02-01-14,0.198
2008-02-01-15,0.198
2008-02-01-16,0.198
2008-02-01-17,0.198
2008-02-01-18,0.198
2008-02-01-19,0.198
2008-02-01-20,0.198
2008-02-01-21,0.198
2008-02-01-22,0.188
2008-02-01-23,0.188
2008-03-01-00,0.408
2008-03-01-01,0.408
2008-03-01-02,0.408
2008-03-01-03,0.408
2008-03-01-04,0.408
2008-03-01-05,0.408
2008-03-01-06,0.398
2008-03-01-07,0.398
2008-03-01-08,0.388
2008-03-01-09,0.388
2008-03-01-10,0.388
2008-03-01-11,0.388
2008-03-01-12,0.388
2008-03-01-13,0.388
2008-03-01-14,0.388
2008-03-01-15,0.378
2008-03-01-16,0.378
2008-03-01-17,0.378
2008-03-01-18,0.378
2008-03-01-19,0.378
2008-03-01-20,0.378
2008-03-01-21,0.378
2008-03-01-22,0.378
2008-03-01-23,0.378
2008-04-01-00,0.468
2008-04-01-01,0.468
2008-04-01-02,0.468
2008-04-01-03,0.468
2008-04-01-04,0.468
2008-04-01-05,0.468
2008-04-01-06,0.468
