,year,month,year_month,well_ft,rain_ft,tide_ft
0,2007,10,2007_10,1.2942732166890991,0.8935833333333327,0.08325268817204305
1,2007,11,2007_11,1.4864008321775364,0.1433333333333333,-0.34308333333333335
2,2007,12,2007_12,1.0112903225806338,0.057499999999999996,-0.7982392473118292
3,2008,1,2008_1,0.8587903225806448,0.085,-0.7103629032258068
4,2008,2,2008_2,0.8325000000000008,0.13000000000000006,-1.1459770114942514
5,2008,3,2008_3,0.6611238223418574,0.20583333333333337,-1.011626344086021
6,2008,4,2008_4,1.1612777777777772,0.3241666666666669,-0.4881805555555554
7,2008,5,2008_5,0.7778225806451641,0.15,-0.6963978494623655
8,2008,6,2008_6,1.0909305555555577,0.43833333333333346,-0.8370555555555553
9,2008,7,2008_7,1.4981720430107512,0.3458333333333333,-0.5308467741935486
10,2008,8,2008_8,1.1387365591397856,1.1491666666666656,-0.47922043010752735
11,2008,9,2008_9,0.9318194444444411,0.7183333333333335,0.2943333333333335
12,2008,10,2008_10,0.7145295698924733,0.9391666666666673,0.04986559139784948
13,2008,11,2008_11,0.7718055555555583,0.05416666666666666,-0.30344444444444435
14,2008,12,2008_12,0.6987634408602145,0.008333333333333333,-0.9293145161290328
15,2009,1,2009_1,0.5815994623655862,0.0025,-1.236801075268817
16,2009,2,2009_2,0.4800744047619041,0.07166666666666667,-1.109880952380952
17,2009,3,2009_3,0.6605316285329751,0.6991666666666672,-0.7173924731182808
18,2009,4,2009_4,0.482986111111109,0.08,-0.9190277777777787
19,2009,5,2009_5,0.4273387096774198,0.608333333333334,-0.6822446236559142
20,2009,6,2009_6,1.2144722222222235,0.7966666666666666,-0.5537083333333334
21,2009,7,2009_7,1.5579301075268752,0.49750000000000033,-0.8270833333333343
22,2009,8,2009_8,1.1697446236559086,0.33583333333333365,-0.5407526881720431
23,2009,9,2009_9,1.2319166666666634,0.48916666666666686,0.038986111111111166
24,2009,10,2009_10,1.2163306451612987,0.11083333333333334,-0.14642473118279584
25,2009,11,2009_11,1.2319337442218754,0.2983333333333335,0.06273611111111116
26,2009,12,2009_12,1.3009543010752738,0.31083333333333335,-0.4006048387096769
27,2010,1,2010_1,1.0740994623655948,0.07666666666666662,-0.7897983870967746
28,2010,2,2010_2,1.4318303571428561,0.2733333333333332,-0.7275297619047615
29,2010,3,2010_3,1.1035868102288082,0.23,-0.9471370967741946
30,2010,4,2010_4,1.292555555555551,0.3899999999999999,-0.7492499999999999
31,2010,5,2010_5,1.3027553763440833,0.2733333333333333,-0.73092741935484
32,2010,6,2010_6,1.060458333333332,0.3608333333333335,-0.6543194444444451
33,2010,7,2010_7,1.077580645161289,0.3716666666666668,-0.6217607526881727
34,2010,8,2010_8,1.5325537634408581,0.6350000000000005,-0.607231182795699
35,2010,9,2010_9,1.3110416666666644,1.2750000000000006,-0.14218055555555548
36,2010,10,2010_10,1.395658602150541,0.14833333333333334,-0.2556451612903226
37,2010,11,2010_11,1.2631276005547818,0.17333333333333334,-0.38716666666666644
38,2010,12,2010_12,0.8443413978494644,0.06583333333333333,-0.7899865591397852
39,2011,1,2011_1,0.8287500000000055,0.18166666666666662,-1.1253360215053758
40,2011,2,2011_2,0.7802678571428594,0.005833333333333334,-1.1376934523809517
41,2011,3,2011_3,0.43315612382234375,0.09666666666666665,-0.9108198924731172
42,2011,4,2011_4,0.2527083333333322,0.20416666666666666,-0.8831250000000005
43,2011,5,2011_5,0.30755376344086033,0.30750000000000005,-0.7577419354838701
44,2011,6,2011_6,-0.31258333333333277,0.11833333333333335,-0.5796388888888889
45,2011,7,2011_7,0.7884677419354859,0.596666666666667,-0.6053360215053767
46,2011,8,2011_8,1.4314516129032209,1.1574999999999975,-0.40857526881720374
47,2011,9,2011_9,1.6305555555555666,0.5558333333333336,-0.3272361111111108
48,2011,10,2011_10,1.1415456989247317,1.7241666666666688,-0.1347311827956988
49,2011,11,2011_11,1.6133356449375733,0.1516666666666667,-0.13761111111111102
50,2011,12,2011_12,1.1546102150537656,0.04416666666666665,-0.5337634408602152
51,2012,1,2012_1,0.7977956989247383,0.007500000000000001,-0.9741129032258072
52,2012,2,2012_2,1.306178160919543,0.31916666666666677,-0.635574712643678
53,2012,3,2012_3,0.9601547779273228,0.02916666666666666,-0.6739112903225801
54,2012,4,2012_4,0.7639305555555537,0.8483333333333343,-0.5861388888888894
55,2012,5,2012_5,1.3441801075268818,0.7683333333333339,-0.514274193548387
56,2012,6,2012_6,1.285055555555555,0.791666666666667,-0.36031944444444447
57,2012,7,2012_7,1.2991801075268847,0.7325000000000003,-0.6098521505376349
58,2012,8,2012_8,1.3854973118279517,0.8491666666666673,-0.49435483870967767
59,2012,9,2012_9,1.371777777777776,0.5083333333333336,-0.5000138888888881
60,2012,10,2012_10,1.1489112903225769,0.41000000000000025,-0.10497311827957091
61,2012,11,2012_11,1.0896185852981959,0.05833333333333332,0.09438888888888904
62,2012,12,2012_12,0.887137096774192,0.03999999999999998,-0.47686827956989236
63,2013,1,2013_1,0.7886962365591461,0.0458333333333333,-0.6536827956989244
64,2013,2,2013_2,0.8690178571428605,0.10583333333333336,-0.7308482142857142
65,2013,3,2013_3,0.7824293405114362,0.0275,-0.570483870967742
66,2013,4,2013_4,1.139750000000004,0.30750000000000005,-0.6913611111111109
67,2013,5,2013_5,1.1661827956989186,0.8891666666666678,-0.4909139784946232
68,2013,6,2013_6,0.898388888888891,0.35583333333333356,-0.8231111111111108
69,2013,7,2013_7,1.192849462365589,0.49166666666666675,-0.5273924731182794
