,year,month,year_month,well_ft,rain_ft,tide_ft
0,2007,10,2007_10,0.4556823687752348,0.5187499999999986,0.08281720430107524
1,2007,11,2007_11,0.08847988904299568,0.006666666666666667,-0.3293472222222221
2,2007,12,2007_12,0.31995430107526796,0.08083333333333334,-0.8715376344086024
3,2008,1,2008_1,0.564040322580648,0.09833333333333334,-0.7458924731182793
4,2008,2,2008_2,0.5177068965517223,0.10916666666666672,-1.1908563218390782
5,2008,3,2008_3,0.5135423956931363,0.1675,-1.0739435483870954
6,2008,4,2008_4,0.42878442280945755,0.23166666666666663,-0.5412777777777767
7,2008,5,2008_5,0.5324946236559132,0.37000000000000016,-0.7365107526881722
8,2008,6,2008_6,0.8769761904761902,0.9191666666666668,-0.8526111111111099
9,2008,7,2008_7,0.5711236559139797,0.3625000000000001,-0.5751129032258055
10,2008,8,2008_8,0.4077903225806456,0.7083333333333339,-0.5378682795698914
11,2008,9,2008_9,0.4055555555555554,0.3991666666666667,0.33115277777777785
12,2008,10,2008_10,0.343086021505376,0.4850000000000003,0.11113709677419341
13,2008,11,2008_11,-0.0670818307905686,0.036666666666666674,-0.2884583333333336
14,2008,12,2008_12,0.11937634408602144,0.024999999999999994,-0.9349919354838707
15,2009,1,2009_1,0.19976612903225774,0.0033333333333333335,-1.2537822580645153
16,2009,2,2009_2,0.24420833333333403,0.03833333333333333,-1.1345267857142856
17,2009,3,2009_3,0.3644576043068642,0.2341666666666665,-0.759669354838709
18,2009,4,2009_4,0.49411111111111167,0.040833333333333326,-0.9675694444444441
19,2009,5,2009_5,-0.0009059139784949677,0.8200000000000003,-0.7465241935483871
20,2009,6,2009_6,0.4047361111111109,0.5058333333333336,-0.6117222222222216
21,2009,7,2009_7,0.26623118279569946,0.31916666666666677,-0.8544005376344087
22,2009,8,2009_8,0.5452231182795692,0.504166666666667,-0.5694677419354831
23,2009,9,2009_9,0.6453472222222219,0.8583333333333338,-0.01997222222222218
24,2009,10,2009_10,0.4896048387096777,0.15333333333333332,-0.17202150537634417
25,2009,11,2009_11,0.2973425797503461,0.42416666666666675,0.026875000000000003
26,2009,12,2009_12,0.021405913978494583,0.3416666666666667,-0.4306505376344086
27,2010,1,2010_1,0.48984677419354844,0.0708333333333333,-0.8343736559139785
28,2010,2,2010_2,0.2525565476190468,0.30750000000000055,-0.7967886904761908
29,2010,3,2010_3,0.16370390309555843,0.14083333333333337,-1.0504623655913976
30,2010,4,2010_4,0.2109027777777778,0.40666666666666673,-0.8049166666666656
31,2010,5,2010_5,0.5449677419354847,0.11583333333333332,-0.777034946236559
32,2010,6,2010_6,0.5601388888888905,0.6216666666666666,-0.7012638888888891
33,2010,7,2010_7,0.5389731182795717,0.29000000000000004,-0.6716989247311816
34,2010,8,2010_8,0.5619032258064502,0.6558333333333339,-0.6828548387096769
35,2010,9,2010_9,0.5105277777777784,1.0991666666666664,-0.15723611111111124
36,2010,10,2010_10,0.19801881720430112,0.2799999999999999,-0.2780564516129029
37,2010,11,2010_11,-0.025084604715672743,0.24083333333333332,-0.4584166666666666
38,2010,12,2010_12,-0.09742473118279586,0.04416666666666666,-0.8797365591397844
39,2011,1,2011_1,0.07527688172042984,0.3400000000000002,-1.2039301075268816
40,2011,2,2011_2,-0.0011934523809524044,0.0125,-1.2179345238095238
41,2011,3,2011_3,0.1860726783310897,0.08166666666666665,-0.9875322580645146
42,2011,4,2011_4,0.02223611111111123,0.10333333333333335,-0.9290277777777763
43,2011,5,2011_5,-0.39927956989247293,0.10583333333333335,-0.7050725806451603
44,2011,6,2011_6,-0.4842083333333339,0.24083333333333318,-0.5489861111111114
45,2011,7,2011_7,0.5033682795698933,0.5633333333333338,-0.594991935483871
46,2011,8,2011_8,0.551392473118281,0.8541666666666671,-0.47230376344086
47,2011,9,2011_9,0.6269166666666671,0.8725000000000002,-0.39069444444444423
48,2011,10,2011_10,0.5831397849462377,0.9741666666666688,-0.14735752688172044
49,2011,11,2011_11,0.13907628294035965,0.05333333333333334,-0.12659722222222228
50,2011,12,2011_12,-0.11570430107526855,0.025833333333333326,-0.5512284946236559
51,2012,1,2012_1,-0.1555833333333336,0.019166666666666665,-1.0243333333333338
52,2012,2,2012_2,0.11516379310344772,0.4641666666666666,-0.6625948275862064
53,2012,3,2012_3,0.013609690444145206,0.14833333333333332,-0.7052473118279564
54,2012,4,2012_4,0.20665277777777724,0.6741666666666675,-0.655055555555556
55,2012,5,2012_5,0.5108010752688149,0.6874999999999998,-0.5442258064516128
56,2012,6,2012_6,0.23462499999999953,0.5441666666666672,-0.45036111111111077
57,2012,7,2012_7,0.39049193548387345,0.8766666666666668,-0.6446424731182793
58,2012,8,2012_8,0.5003978494623645,0.7825000000000008,-0.5290107526881714
59,2012,9,2012_9,0.5714583333333333,0.5466666666666667,-0.5360138888888893
60,2012,10,2012_10,0.3268494623655901,0.3808333333333335,-0.13499193548387106
61,2012,11,2012_11,0.24110124826629697,0.06666666666666667,0.03793055555555558
62,2012,12,2012_12,0.02807258064516111,0.02999999999999999,-0.5192795698924734
63,2013,1,2013_1,-0.10556989247311889,0.03499999999999998,-0.7109731182795692
64,2013,2,2013_2,0.07642559523809496,0.09000000000000004,-0.6861785714285707
65,2013,3,2013_3,0.1385222072678335,0.11750000000000001,-0.5712016129032264
66,2013,4,2013_4,0.3268611111111087,0.5883333333333336,-0.710083333333333
67,2013,5,2013_5,0.3082876344086022,0.9858333333333331,-0.5300860215053756
68,2013,6,2013_6,0.41044444444444694,0.5008333333333338,-0.8761111111111103
69,2013,7,2013_7,0.5074139784946241,0.7808333333333346,-0.5752338709677417
70,2013,8,2013_8,0.1726155913978496,0.2525,-0.5850188172043025
71,2013,9,2013_9,0.5691666666666652,0.47166666666666673,-0.23480555555555607
72,2013,10,2013_10,0.49273655913978504,0.15000000000000002,-0.13809677419354877
